"Party Name","Default Type","Image","TRN","Emirate"
"Mr. Fahed Abdullah","Client",,,"Abu Dhabi"
"O Design Engineering Consultancy","Consultant","/files/1697954712773.jfif",,"Abu Dhabi"
"White Aluminium Extrusion","Supplier: Aluminum",,,"Abu Dhabi"
"National Engineering Bureau","Consultant","/files/RCSINV-2405003.jpg",,"Abu Dhabi"
"Ward Al-Amara Contracting","Client",,,"Abu Dhabi"
"Bayaty Architects","Consultant","/files/downloadcbcfb4.jpg",,"Abu Dhabi"
"Samer Rabi Engineering & Development","Consultant","/files/1682869686428.jpeg",,"Abu Dhabi"
"A.D.D. Consultants","Consultant",,,"Abu Dhabi"
"Royal Palace Engineering Consultancy","Consultant",,,"Abu Dhabi"
"Design & Construction Engineering ( DEC )","Consultant","/files/1519891359645e477f5.jpeg",,"Abu Dhabi"
"Hannover Consulting Engineers","Consultant","/files/16411952389789a5603.jpeg",,"Abu Dhabi"
"Crown Engineering Consultancy Bureau","Consultant","/files/36954c43de4a4706ae53c5f81a85eafa.jpeg",,"Abu Dhabi"
"Project Lab Consultants","Consultant","/files/1630633550411.jpeg",,"Abu Dhabi"
"Rivera Engineering Consultancy","Consultant","/files/1631326657176.jpeg",,"Abu Dhabi"
"EHAF Consulting Engineers","Consultant","/files/WhatsApp Image 2024-06-12 at 14.05.00_7eefa92e.jpg",,"Abu Dhabi"
"MZ Architects","Consultant","/files/images (2).png",,"Abu Dhabi"
"Marinal Middle East General Contracting","Client",,,"Abu Dhabi"
"Dhafir Development & Contracting","Client","/files/194.png",,"Abu Dhabi"
"Masri Engineering & Contracting","Client","/files/image00172b1ddec4156.png",,"Abu Dhabi"
"Capriole Construction","Client","/files/1683257076_89bf58a7dc30119642d1.jpg",,"Abu Dhabi"
"Promak General Contracting","Client","/files/logo.jpeg",,"Abu Dhabi"
"NMDC Construction","Client","/files/nmdcconstruction_artboard7copy2(002)_b8a19d04-f611-4cfe-9779-16e375de577f.png",,"Abu Dhabi"
"Ice Burg Contracting & Gen. Maint.","Client","/files/logo.webp","100389876200003","Abu Dhabi"
"Turbo Work Contracting & General Maint.","Client",,,"Abu Dhabi"
"Orga Line Contracting","Client","/files/Screenshot 2024-01-11 154944.png",,"Abu Dhabi"
"Jazal Engineering","Client","/files/jazal_engineering_contracting_l_l_c_logo.jpeg",,"Abu Dhabi"
"Onyx Construction Company","Client","/files/s4xjnffqnzz9gewzbpnde0e5b7.webp",,"Abu Dhabi"
"Al-Mezin Construction Company","Client",,"100324343100003","Abu Dhabi"
"Al-Shaden General Construction Company","Client","/files/downloadb10e45.jpeg","100053506000003","Abu Dhabi"
"Orient House Development & Construction","Client","/files/qg7yimyrv3kx3eouhppk.webp",,"Abu Dhabi"
"HA Star General Contracting","Client","/files/1519901432091d568ee.jpeg","100374595500003","Abu Dhabi"
"Pauling Middle East","Client","/files/96dad824cd364ad9826b045ef13dd43070b167.webp","100316241700003","Abu Dhabi"
"Uruk General Contracting","Client","/files/image002 (1).png","100348697200003","Abu Dhabi"
"Patina Interior Design And Decoration","Client","/files/downloaddc3cc2.png","100378145500003","Abu Dhabi"
"Al-Diyar General Contracting Company","Client","/files/download39d182.jpeg",,"Abu Dhabi"
"Trojan General Contracting","Client","/files/imagesc8e592.png",,"Abu Dhabi"
"General Contracting Company ( GENCO )","Client","/files/image0017ff00b.png",,"Abu Dhabi"
"MSJ General Contracting","Client","/files/image001 (1).jpg","100586261800003","Abu Dhabi"
"Zublin Construction","Client","/files/download4ac2ab.png",,"Abu Dhabi"
"Force 10","Client","/files/images0c7079.png",,"Abu Dhabi"
"S.S. Lootah Group","Client","/files/foundation_logoec6c42.png",,"Abu Dhabi"
"Daary General Contracting","Client","/files/download6b0cd587db81.jpg",,"Abu Dhabi"
"Dhafra Int'l Projects Group","Client","/files/f95c55_a9d13d00395a421b8db014131f6f69f1.jpg",,"Abu Dhabi"
"Intersection Construction Company","Client","/files/Screenshot 2024-01-03 101945.png",,"Abu Dhabi"
"Morals General Contracting","Client","/files/download (4).jpeg",,"Abu Dhabi"
"United Engineering & Contracting","Client","/files/download (6).png",,"Abu Dhabi"
"Pro Civil Contracting","Client","/files/images (1).jpeg",,"Abu Dhabi"
"Bin Jamal General Contracting","Client","/files/download (7).png",,"Abu Dhabi"
"A&M International General Contracting","Client","/files/9d6bd2045887b871b50d8f340e6bdc3c.webp",,"Abu Dhabi"
"Ten X General Contracting","Client","/files/Picture10.jpg",,"Abu Dhabi"
"STE Engineering","Client","/files/image001 (1).png",,"Abu Dhabi"
"Schuco  Middle East","Supplier: Aluminum",,,"Abu Dhabi"
"Sykon","Supplier: Aluminum",,,"Abu Dhabi"
"Technal","Supplier: Aluminum",,,"Abu Dhabi"
"ADNOC","Supplier","/files/Arda_Sponsor_Logos_Gold_Adnoc.png",,"Abu Dhabi"
"White Aluminium Glass Processing","Supplier: Glass","/files/whitelogo.jpg",,"Abu Dhabi"
"Guardian Glass","Supplier: Glass","/files/download (1)870bf8.png",,"Abu Dhabi"
"Basalt Engineering Consultancy","Consultant","/files/downloadbed007.jpeg",,"Abu Dhabi"
"ASR Contracting","Client","/files/image002.png","100259933800003","Abu Dhabi"
"Gutmann Middle East","Supplier: Aluminum",,"0","Abu Dhabi"
"Rapid Building Gen. Cont. (MABANI)","Client","/files/image.jpeg","100000634400003","Abu Dhabi"
"Al-Rakha Group","Client",,"0","Abu Dhabi"
"Alumil Middle East","Supplier: Aluminum","/files/images (1).png","0","Abu Dhabi"
